aX,aY,aZ,gX,gY,gZ
-0.408,-0.931,-0.181,-3.052,-2.014,-5.127
-0.407,-0.952,-0.180,-2.625,-1.343,-5.493
-0.404,-0.954,-0.188,-2.136,-0.183,-3.967
-0.406,-0.942,-0.208,-2.686,2.014,-2.441
-0.405,-0.922,-0.229,-2.686,3.906,-0.916
-0.437,-1.672,0.080,-39.001,0.427,154.236
-0.409,-1.680,0.031,-25.452,2.197,166.870
-0.418,-1.645,0.003,-34.241,3.845,180.237
-0.398,-1.596,-0.002,-37.476,3.906,195.984
-0.380,-1.496,0.029,-29.724,0.793,213.623
-0.355,-1.397,0.072,-27.588,0.000,228.455
-0.327,-1.316,0.067,-18.188,2.380,238.281
-0.299,-1.227,0.039,-5.493,4.333,246.216
-0.263,-1.131,0.018,4.639,3.662,252.563
-0.215,-1.037,0.002,15.259,0.305,257.019
-0.166,-0.943,0.011,17.151,-4.639,258.911
-0.059,-0.853,0.041,11.108,-10.193,257.263
-0.087,-0.808,0.102,7.446,-13.306,253.296
-0.020,-0.726,0.099,10.986,-13.367,248.718
0.039,-0.681,0.128,-4.028,-17.029,241.699
0.129,-0.724,0.156,-30.945,-18.005,228.149
0.169,-0.828,0.170,-55.786,-16.418,214.722
0.201,-0.873,0.189,-63.171,-15.076,210.999
0.244,-0.841,0.150,-63.477,-13.306,213.989
0.280,-0.812,0.058,-72.449,-9.338,215.637
0.314,-0.794,-0.057,-79.712,-8.179,215.698
0.333,-0.756,-0.136,-65.491,-15.686,217.346
0.322,-0.694,-0.126,-35.889,-32.715,219.116
0.333,-0.653,-0.016,-24.048,-53.528,220.093
0.393,-0.564,0.131,-39.124,-68.054,220.215
0.412,-0.466,0.167,-42.236,-71.167,218.079
0.458,-0.416,0.141,-50.415,-71.106,210.205
0.485,-0.456,0.080,-75.073,-71.716,197.449
0.492,-0.557,0.037,-92.834,-77.087,182.861
0.474,-0.594,0.010,-86.975,-85.815,176.697
0.451,-0.572,0.026,-64.148,-97.168,178.711
0.404,-0.528,0.095,-40.955,-111.145,181.274
0.338,-0.437,0.235,-29.236,-123.169,180.420
0.278,-0.366,0.383,-15.137,-129.822,173.340
0.113,-0.355,0.304,9.277,-129.700,162.842
0.102,-0.192,0.566,22.583,-141.296,160.461
-0.055,0.089,0.880,58.044,-149.475,160.400
-0.266,0.475,1.239,116.699,-144.104,153.320
-0.559,1.024,2.004,128.723,-128.418,135.315
-0.785,1.956,3.098,89.661,-85.693,107.483
-1.558,3.395,4.000,64.575,-1.770,63.660
-2.839,4.000,4.000,46.936,119.019,-37.720
-4.000,4.000,4.000,-76.599,326.782,-224.426
-4.000,4.000,4.000,-139.343,651.733,-439.697
-4.000,3.648,4.000,-143.066,957.520,-678.101
-4.000,2.140,2.782,-104.492,1107.910,-889.587
-4.000,1.021,0.927,-11.658,1101.868,-1010.254
-4.000,0.406,-0.315,138.855,1043.274,-1040.527
-4.000,-0.311,-1.311,217.590,984.802,-1030.518
-4.000,-1.296,-2.339,167.542,928.345,-1012.756
-4.000,-3.046,-2.367,25.452,828.186,-1012.573
-4.000,-4.000,-1.689,-25.452,711.670,-945.923
-4.000,-4.000,-2.661,26.001,706.787,-725.769
-4.000,-2.866,-4.000,40.161,735.229,-443.420
-4.000,-1.435,-4.000,39.001,640.747,-292.908
-3.225,-1.582,-4.000,57.678,419.495,-281.860
-2.653,-1.790,-3.937,78.735,180.542,-270.813
-2.281,-1.412,-2.119,88.074,29.175,-214.539
-2.028,-1.281,-0.775,73.547,-22.522,-177.185
-1.836,-1.747,-0.140,27.527,-13.550,-171.997
-1.647,-2.195,-0.318,-24.231,28.503,-153.931
-1.431,-2.147,-0.957,-49.133,63.538,-106.506
-1.302,-1.842,-1.391,-57.678,61.096,-58.960
-1.218,-1.640,-1.295,-51.453,22.339,-31.067
-1.195,-1.513,-0.873,-40.894,-19.287,-15.259
-1.176,-1.265,-0.446,-28.992,-42.358,0.427
-1.156,-1.002,-0.211,-21.606,-45.044,13.123
-1.147,-0.928,-0.172,-23.499,-36.316,12.939
-1.145,-1.042,-0.308,-30.029,-24.963,5.371
-1.154,-1.264,-0.510,-31.738,-18.494,1.160
-1.144,-1.467,-0.632,-17.395,-23.926,7.629
-1.112,-1.611,-0.651,3.906,-37.720,24.109
-1.125,-1.635,-0.591,22.705,-52.856,47.668
-1.062,-1.514,-0.549,41.199,-64.026,75.623
-1.075,-1.224,-0.515,63.599,-72.266,103.455
-1.023,-0.856,-0.355,72.449,-81.604,121.826
-0.953,-0.510,-0.246,74.646,-85.022,126.770
-0.877,-0.322,-0.213,69.763,-83.984,115.112
-0.826,-0.340,-0.222,57.373,-81.848,91.003
-0.790,-0.573,-0.251,46.570,-81.238,64.148
-0.771,-0.879,-0.316,43.457,-81.360,46.021
-0.759,-1.108,-0.391,49.805,-84.473,43.518
-0.817,-1.272,-0.385,58.350,-91.187,51.758
-0.836,-1.332,-0.281,67.627,-98.450,67.566
-0.914,-1.248,-0.255,76.660,-98.145,89.844
-0.848,-1.089,-0.297,79.224,-94.238,110.535
-0.867,-0.961,-0.375,77.698,-92.896,122.253
-0.862,-0.882,-0.422,64.636,-95.337,125.000
-0.870,-0.891,-0.530,57.312,-99.182,122.314
-0.880,-0.988,-0.667,51.880,-106.567,118.469
-0.901,-1.215,-0.732,49.866,-121.948,114.014
-0.919,-1.529,-0.732,45.654,-140.869,115.356
-0.964,-1.779,-0.719,43.884,-157.349,128.235
-1.016,-1.881,-0.572,55.969,-172.058,152.344
-0.992,-1.989,-0.521,96.375,-183.044,182.617
-1.169,-1.900,-0.470,80.322,-184.448,219.543
-1.090,-1.612,-0.392,65.491,-183.472,259.338
-1.013,-1.354,-0.409,92.041,-184.875,288.086
-0.960,-1.224,-0.535,83.496,-178.467,296.875
-0.901,-1.209,-0.653,63.354,-176.453,297.119
-0.843,-1.296,-0.725,47.852,-180.786,295.593
-0.804,-1.428,-0.734,34.302,-187.500,298.157
-0.699,-1.525,-0.688,39.673,-196.594,309.509
-0.875,-1.593,-0.472,45.105,-207.092,329.407
-0.800,-1.417,-0.106,58.594,-216.125,360.718
-0.708,-1.091,0.204,61.340,-207.275,390.625
-0.560,-0.712,0.270,30.273,-175.110,409.668
-0.356,-0.411,0.029,-6.714,-133.484,413.147
-0.190,-0.310,-0.404,-47.485,-98.145,399.841
-0.102,-0.374,-0.812,-76.538,-80.750,379.639
-0.055,-0.476,-0.939,-74.585,-93.140,365.356
-0.006,-0.449,-0.758,-51.758,-122.864,365.356
0.047,-0.299,-0.457,-26.672,-147.034,371.582
0.115,-0.132,-0.239,-8.667,-154.236,372.925
0.181,0.032,-0.104,-9.827,-147.888,367.981
0.250,0.124,0.073,-17.212,-139.282,357.605
0.336,0.269,0.239,-27.405,-128.723,348.694
0.434,0.420,0.275,-33.813,-107.727,338.135
0.521,0.489,0.174,-44.678,-79.834,319.519
-0.417,-1.405,-0.834,-135.010,-44.067,145.325
-0.444,-1.522,-0.795,-139.832,-70.801,148.560
-0.466,-1.681,-0.478,-141.602,-99.365,157.227
-0.450,-1.960,0.059,-113.708,-120.850,169.800
-0.420,-2.250,0.405,-57.861,-118.469,189.819
-0.444,-2.360,0.399,-36.011,-89.722,225.159
-0.499,-2.189,0.266,-44.189,-61.890,274.292
-0.544,-1.818,0.163,-39.001,-50.293,324.158
-0.590,-1.502,0.118,-15.503,-50.659,356.873
-0.599,-1.199,0.087,-1.038,-54.443,375.305
-0.605,-0.884,0.038,3.967,-57.007,388.000
-0.495,-0.616,-0.037,2.563,-59.265,390.442
-0.408,-0.429,-0.118,-21.423,-61.523,380.127
-0.314,-0.390,-0.200,-57.190,-65.491,358.215
-0.206,-0.367,-0.184,-84.595,-74.463,340.515
-0.150,-0.385,-0.068,-88.318,-87.036,323.242
-0.169,-0.398,0.148,-80.994,-100.220,310.120
-0.084,-0.403,0.390,-75.256,-104.248,301.575
-0.025,-0.347,0.474,-82.092,-90.942,297.424
-0.000,-0.266,0.306,-73.486,-70.618,295.471
0.068,-0.043,0.164,-74.524,-60.547,293.213
0.145,0.173,0.011,-65.308,-62.439,283.936
0.163,0.255,0.021,-49.927,-78.430,260.864
0.261,0.235,0.188,-35.400,-102.356,230.225
0.293,0.208,0.354,-20.203,-116.943,202.820
0.331,0.157,0.435,-3.601,-117.676,178.772
0.354,0.065,0.530,8.301,-116.333,155.884
0.369,-0.064,0.668,18.494,-116.943,133.911
0.378,-0.244,0.748,23.010,-110.779,115.173
0.385,-0.384,0.712,14.160,-94.177,102.539
0.387,-0.434,0.597,13.733,-77.698,99.670
0.388,-0.437,0.502,28.015,-70.129,101.563
0.362,-0.383,0.470,42.969,-71.289,104.675
0.283,-0.253,0.514,49.988,-76.416,104.980
0.209,-0.074,0.666,50.476,-80.994,99.731
0.131,0.109,0.866,44.189,-79.041,86.731
-0.052,0.241,1.067,33.020,-67.505,65.247
-0.336,0.417,1.497,4.456,-48.340,38.086
-0.702,0.744,2.134,-29.419,-14.465,11.230
-1.245,1.518,3.027,-31.738,39.001,-6.226
-2.126,2.811,4.000,11.597,118.042,-20.508
-3.380,4.000,4.000,39.429,247.498,-77.148
-4.000,4.000,4.000,-29.602,468.262,-214.966
-4.000,4.000,4.000,-99.365,743.896,-465.271
