aX,aY,aZ,gX,gY,gZ
0.741,0.731,0.430,6.042,2.747,57.739
0.737,0.733,0.432,4.150,4.333,54.749
0.730,0.750,0.439,1.953,5.920,51.453
0.723,0.766,0.438,-0.366,7.385,48.706
0.725,0.779,0.439,-1.282,8.423,46.082
0.739,0.779,0.443,-1.953,10.010,42.297
0.737,0.781,0.441,-2.258,12.268,38.269
0.730,0.776,0.428,-1.465,15.564,34.851
0.718,0.770,0.418,-0.732,18.677,31.372
0.705,0.758,0.403,-1.038,20.996,27.649
0.695,0.752,0.393,-1.831,22.034,25.879
0.684,0.750,0.379,-4.028,23.071,24.902
0.682,0.743,0.368,-7.385,24.231,23.560
0.680,0.729,0.359,-10.742,25.146,21.790
0.678,0.716,0.349,-13.184,26.245,20.386
0.678,0.702,0.344,-15.625,27.588,19.043
0.680,0.700,0.339,-17.151,28.809,18.677
0.679,0.691,0.330,-17.456,30.518,17.700
0.676,0.688,0.325,-17.273,32.715,16.235
0.676,0.688,0.316,-16.907,34.119,15.442
0.690,0.685,0.326,-17.090,35.950,14.526
0.680,0.699,0.331,-17.944,39.917,13.916
0.667,0.716,0.319,-16.968,44.861,13.245
0.658,0.730,0.309,-17.090,49.011,11.597
0.673,0.743,0.328,-21.545,53.040,10.132
0.693,0.770,0.381,-28.748,59.387,10.010
0.720,0.785,0.417,-33.752,70.007,10.498
0.730,0.811,0.439,-40.527,86.426,10.376
0.689,0.835,0.464,-44.189,106.750,8.850
0.618,0.840,0.447,-39.124,128.052,6.409
0.528,0.860,0.392,-30.823,149.658,5.920
0.389,0.889,0.378,-24.780,171.082,4.883
0.253,0.930,0.343,-21.118,199.890,2.563
-0.033,1.017,0.263,-17.395,239.258,2.136
-0.516,1.186,0.128,-13.123,284.485,11.230
-1.105,1.377,-0.058,-11.353,328.369,36.072
-1.778,1.391,-0.433,-18.188,355.103,74.951
-2.469,0.948,-1.535,-20.996,326.782,105.469
-3.316,0.423,-2.939,-19.958,214.783,128.479
-3.952,0.156,-3.953,6.958,4.333,163.696
-4.000,0.652,-3.999,73.364,-303.894,185.730
-4.000,1.251,-2.949,109.619,-609.924,171.326
-4.000,1.539,-1.866,182.190,-839.844,102.417
-4.000,1.598,-1.011,283.325,-992.310,-14.160
-4.000,1.666,-0.215,327.209,-1099.854,-110.413
-4.000,1.911,0.651,262.207,-1185.730,-150.208
-4.000,2.086,1.642,106.445,-1255.615,-162.048
-4.000,1.826,2.875,-59.814,-1279.663,-182.373
-4.000,1.243,3.992,-154.114,-1229.126,-210.205
-3.988,0.590,4.000,-185.364,-1110.168,-229.004
-3.157,-0.084,4.000,-188.538,-947.327,-224.609
-2.362,-0.621,4.000,-160.522,-786.194,-199.463
-1.673,-0.969,4.000,-85.693,-613.037,-167.114
-1.175,-1.160,4.000,15.564,-449.829,-119.324
-0.999,-1.001,3.857,104.492,-325.317,-54.016
-0.892,-0.722,3.159,168.701,-229.126,4.028
-0.789,-0.430,2.573,220.947,-153.687,7.874
-0.677,-0.074,2.155,238.464,-126.709,11.780
-0.605,0.326,1.958,172.180,-120.605,31.006
-0.516,0.535,1.908,93.262,-114.929,29.297
-0.377,0.526,1.958,49.072,-101.685,2.197
-0.292,0.410,2.007,30.029,-79.163,-20.691
-0.280,0.323,2.016,20.142,-53.711,-28.381
-0.334,0.292,1.989,17.822,-31.189,-25.757
-0.340,0.318,1.934,20.447,-13.306,-22.217
-0.336,0.356,1.862,24.658,-0.122,-18.799
-0.297,0.398,1.786,24.963,10.193,-15.869
-0.242,0.414,1.719,21.912,19.470,-16.052
-0.183,0.420,1.667,17.578,29.053,-17.517
-0.121,0.414,1.611,11.780,39.124,-19.104
-0.097,0.374,1.542,6.714,47.913,-19.165
-0.020,0.394,1.552,2.869,59.875,-19.653
0.025,0.397,1.493,8.850,68.054,-16.418
-0.034,0.335,1.432,20.447,83.496,-21.423
-0.052,0.290,1.354,18.982,93.323,-21.362
-0.100,0.279,1.252,8.850,99.243,-12.695
-0.135,0.287,1.173,1.892,100.708,-7.202
-0.134,0.291,1.136,-0.610,96.313,-5.737
-0.119,0.279,1.140,-6.836,90.881,-5.676
-0.101,0.237,1.192,-17.883,86.609,-3.418
-0.088,0.174,1.288,-32.104,85.266,-0.183
-0.063,0.062,1.421,-46.936,89.233,2.319
-0.038,-0.102,1.609,-62.012,99.243,6.470
-0.007,-0.299,1.836,-77.881,116.577,14.282
-0.018,-0.526,2.114,-92.224,141.907,24.597
-0.097,-0.805,2.440,-103.271,177.551,37.415
-0.254,-1.116,2.756,-107.666,225.159,54.810
-0.433,-1.462,3.086,-104.065,281.616,76.721
-0.572,-1.743,3.383,-89.111,346.313,105.469
-0.687,-1.894,3.577,-58.105,419.189,138.855
-0.878,-1.943,3.605,-6.287,502.258,170.532
-1.169,-1.858,3.416,56.396,594.116,204.529
-1.632,-1.663,3.035,114.258,684.509,245.972
-2.165,-1.406,2.638,163.513,757.202,297.058
-2.618,-0.991,2.248,203.674,801.880,356.384
-3.111,-0.339,1.889,254.822,809.692,416.565
-3.721,0.321,1.319,349.609,772.095,460.693
-4.000,0.774,0.738,473.328,702.454,473.938
-3.900,1.380,0.321,534.119,615.234,502.747
-3.723,1.839,0.183,486.023,499.451,550.049
-3.540,2.278,0.176,377.625,370.422,571.960
-3.195,2.704,0.201,260.864,255.615,563.782
-2.801,3.261,0.245,172.241,164.429,503.540
-2.329,3.727,0.248,111.633,90.027,379.944
-1.969,3.435,0.430,72.449,31.250,214.905
-1.690,2.817,0.602,62.012,1.953,75.134
-1.454,2.287,0.743,53.528,-12.878,11.353
-1.262,1.822,0.894,35.767,-31.860,-2.747
-1.048,1.460,1.067,11.414,-44.739,-4.944
-0.793,1.194,1.242,-13.733,-44.250,-9.094
-0.641,0.955,1.309,-34.546,-37.292,-16.785
-0.488,0.738,1.354,-47.241,-24.048,-29.724
-0.396,0.526,1.312,-43.396,-16.296,-42.847
-0.317,0.383,1.262,-34.729,-12.207,-52.002
-0.254,0.321,1.208,-26.794,-11.963,-56.458
-0.201,0.300,1.159,-22.278,-17.212,-58.228
-0.142,0.290,1.125,-23.071,-24.109,-58.044
0.594,0.826,0.019,-13.428,31.860,9.705
0.585,0.819,0.016,-13.611,30.457,7.446
0.582,0.808,0.001,-12.695,28.625,5.432
0.570,0.816,-0.001,-11.475,28.259,3.235
0.573,0.809,-0.011,-11.169,26.855,1.587
0.576,0.799,-0.016,-11.902,25.879,-0.732
0.582,0.789,-0.018,-13.733,26.184,-2.869
0.582,0.775,-0.028,-15.076,25.330,-3.601
0.584,0.753,-0.031,-15.686,24.414,-3.662
0.594,0.734,-0.038,-15.869,23.926,-3.052
0.583,0.723,-0.042,-16.907,23.865,-2.075
0.589,0.715,-0.057,-17.822,23.865,-1.404
0.586,0.718,-0.067,-17.517,22.766,-1.160
0.591,0.715,-0.083,-17.151,21.240,-0.916
0.597,0.718,-0.087,-18.066,19.531,-0.671
0.608,0.716,-0.086,-18.494,18.250,-0.793
0.620,0.717,-0.082,-17.883,17.212,-1.038
0.636,0.709,-0.079,-16.357,15.991,-1.343
0.654,0.699,-0.079,-13.977,15.503,-1.099
0.672,0.689,-0.070,-14.160,16.357,-1.038
0.692,0.686,-0.056,-15.747,17.639,-1.587
0.706,0.687,-0.050,-15.198,19.592,-2.869
0.712,0.694,-0.041,-13.306,21.484,-4.517
0.730,0.699,-0.038,-10.803,22.888,-5.737
0.752,0.699,-0.028,-8.728,25.452,-7.141
0.775,0.708,-0.015,-8.728,29.541,-8.911
0.817,0.697,0.004,-8.728,33.630,-10.925
0.850,0.696,0.026,-8.423,41.199,-13.428
0.865,0.710,0.041,-7.263,52.612,-17.578
0.873,0.732,0.059,-6.042,65.857,-22.156
0.885,0.783,0.111,-5.249,81.909,-27.466
0.864,0.837,0.159,-3.235,101.685,-35.339
0.822,0.895,0.214,0.916,125.244,-46.021
0.748,0.979,0.265,0.732,154.114,-57.861
0.596,1.088,0.286,-1.038,190.247,-72.693
0.268,1.208,0.277,-1.282,230.469,-87.891
-0.220,1.299,0.239,-2.686,272.644,-94.543
-0.931,1.375,0.095,-13.428,316.223,-86.243
-1.781,1.261,-0.379,-31.311,355.835,-63.660
-2.626,0.649,-1.636,-56.396,362.427,-32.043
-3.519,0.012,-3.147,-52.002,290.283,18.738
-4.000,-0.387,-4.000,-1.160,78.552,99.182
-4.000,-0.131,-4.000,49.194,-236.938,164.062
-4.000,0.325,-3.623,88.440,-564.026,204.834
-4.000,0.646,-2.722,136.780,-808.777,208.008
-4.000,0.947,-1.732,170.227,-979.553,170.654
-4.000,1.219,-1.081,171.875,-1103.333,130.737
-4.000,1.606,-0.276,128.723,-1192.871,114.502
-4.000,1.909,0.613,77.026,-1264.648,104.919
-4.000,1.860,1.597,48.584,-1320.374,77.881
-4.000,1.569,2.774,36.438,-1333.435,49.561
-4.000,1.222,3.917,35.706,-1284.546,35.217
-4.000,1.045,4.000,31.067,-1177.429,38.757
-3.647,0.869,4.000,46.143,-1029.846,39.246
-2.799,0.613,4.000,59.387,-857.605,12.329
-2.060,0.414,4.000,46.631,-677.734,-9.399
-1.683,0.184,4.000,34.973,-505.920,-26.184
-1.673,-0.025,4.000,35.278,-379.639,-21.606
-1.706,-0.223,3.613,41.260,-276.917,-13.855
-1.627,-0.455,2.997,67.688,-190.735,-33.630
-1.477,-0.590,2.555,106.079,-153.564,-31.555
-1.295,-0.517,2.340,117.737,-140.503,-0.854
-1.083,-0.353,2.320,125.610,-131.348,26.001
-0.879,-0.135,2.344,135.681,-116.516,42.297
-0.701,0.123,2.330,126.587,-92.529,57.007
-0.596,0.357,2.267,112.976,-61.157,60.669
